unit,unitLabel,quant,quantLabel
http://qudt.org/vocab/unit/AWG,Aruban Guilder,http://qudt.org/vocab/quantitykind/Currency,Currency
http://qudt.org/vocab/unit/AZN,Azerbaijanian Manat,http://qudt.org/vocab/quantitykind/Currency,Currency
http://qudt.org/vocab/unit/A_Ab,Abampere,http://qudt.org/vocab/quantitykind/ElectricCurrent,Electric Current
http://qudt.org/vocab/unit/BIOT,Biot,http://qudt.org/vocab/quantitykind/ElectricCurrent,Electric Current
http://qudt.org/vocab/unit/A_Ab-CentiM2,Abampere Square centimetre,http://qudt.org/vocab/quantitykind/ElectricConductivity,Electric Conductivity
http://qudt.org/vocab/unit/A_Ab-PER-CentiM2,Abampere per Square Centimetre,http://qudt.org/vocab/quantitykind/ElectricCurrentDensity,Electric Current Density
http://qudt.org/vocab/unit/A_Stat,Statampere,http://qudt.org/vocab/quantitykind/ElectricCurrent,Electric Current
http://qudt.org/vocab/unit/A_Stat-PER-CentiM2,Statampere per Square Centimetre,http://qudt.org/vocab/quantitykind/ElectricCurrentDensity,Electric Current Density
http://qudt.org/vocab/unit/AttoC,AttoCoulomb,http://qudt.org/vocab/quantitykind/ElectricCharge,Electric Charge
http://qudt.org/vocab/unit/C,Coulomb,http://qudt.org/vocab/quantitykind/ElectricCharge,Electric Charge
http://qudt.org/vocab/unit/C,Coulomb,http://qudt.org/vocab/quantitykind/ElementaryCharge,Elementary Charge
http://qudt.org/vocab/unit/AttoFARAD,Attofarad,http://qudt.org/vocab/quantitykind/Capacitance,Capacitance
http://qudt.org/vocab/unit/AttoJ,Attojoule,http://qudt.org/vocab/quantitykind/Energy,Energy
http://qudt.org/vocab/unit/AttoJ-SEC,Attojoule Second,http://qudt.org/vocab/quantitykind/Action,Action
http://qudt.org/vocab/unit/B,Bel,http://qudt.org/vocab/quantitykind/RF-Power,RF-Power Level
http://qudt.org/vocab/unit/B,Bel,http://qudt.org/vocab/quantitykind/SignalStrength,Signal Strength
http://qudt.org/vocab/unit/BAN,Ban,http://qudt.org/vocab/quantitykind/InformationEntropy,Information Entropy
http://qudt.org/vocab/unit/BAR,Bar,http://qudt.org/vocab/quantitykind/ForcePerArea,Force Per Area
http://qudt.org/vocab/unit/BAR-L-PER-SEC,Bar Litre Per Second,http://qudt.org/vocab/quantitykind/Power,Power
http://qudt.org/vocab/unit/BAR-M3-PER-SEC,Bar Cubic Metre Per Second,http://qudt.org/vocab/quantitykind/Power,Power
http://qudt.org/vocab/unit/BAR-PER-BAR,Bar Per Bar,http://qudt.org/vocab/quantitykind/PressureRatio,Pressure Ratio
http://qudt.org/vocab/unit/BAR-PER-K,Bar Per Kelvin,http://qudt.org/vocab/quantitykind/PressureCoefficient,Pressure Coefficient
http://qudt.org/vocab/unit/BARAD,Barad,http://qudt.org/vocab/quantitykind/ForcePerArea,Force Per Area
http://qudt.org/vocab/unit/BARYE,Barye,http://qudt.org/vocab/quantitykind/ForcePerArea,Force Per Area
http://qudt.org/vocab/unit/BARN,Barn,http://qudt.org/vocab/quantitykind/Area,Area
http://qudt.org/vocab/unit/BBD,Barbados Dollar,http://qudt.org/vocab/quantitykind/Currency,Currency
http://qudt.org/vocab/unit/BBL,Barrel,http://qudt.org/vocab/quantitykind/Volume,Volume
http://qudt.org/vocab/unit/BBL_UK_PET,Barrel (UK Petroleum),http://qudt.org/vocab/quantitykind/Volume,Volume
http://qudt.org/vocab/unit/BBL_UK_PET-PER-DAY,Barrel (UK Petroleum) Per Day,http://qudt.org/vocab/quantitykind/VolumeFlowRate,Volume Flow Rate
http://qudt.org/vocab/unit/BBL_UK_PET-PER-HR,Barrel (UK Petroleum) Per Hour,http://qudt.org/vocab/quantitykind/VolumeFlowRate,Volume Flow Rate
http://qudt.org/vocab/unit/BBL_UK_PET-PER-MIN,Barrel (UK Petroleum) Per Minute,http://qudt.org/vocab/quantitykind/VolumeFlowRate,Volume Flow Rate
http://qudt.org/vocab/unit/BBL_UK_PET-PER-SEC,Barrel (UK Petroleum) Per Second,http://qudt.org/vocab/quantitykind/VolumeFlowRate,Volume Flow Rate
http://qudt.org/vocab/unit/BBL_US,Barrel (US),http://qudt.org/vocab/quantitykind/Volume,Volume
http://qudt.org/vocab/unit/BBL_US-PER-DAY,Barrel (US) Per Day,http://qudt.org/vocab/quantitykind/VolumeFlowRate,Volume Flow Rate
http://qudt.org/vocab/unit/BBL_US-PER-MIN,Barrel (US) Per Minute,http://qudt.org/vocab/quantitykind/VolumeFlowRate,Volume Flow Rate
